시점,시도,주택유형,개수
2013.03,충청북도,아파트,1353
2013.04,강원특별자치도,아파트,84
2013.04,경기도,아파트,5934
2013.04,경상남도,아파트,2411
2013.04,경상북도,아파트,1553
2013.04,광주광역시,아파트,1924
2013.04,대구광역시,아파트,1785
2013.04,대전광역시,아파트,0
2013.04,부산광역시,아파트,581
2013.04,서울특별시,아파트,954
2013.04,세종특별자치시,아파트,903
2013.04,울산광역시,아파트,0
2013.04,인천광역시,아파트,101
2013.04,전라남도,아파트,738
2013.04,전북특별자치도,아파트,1136
2013.04,제주특별자치도,아파트,59
2013.04,충청남도,아파트,1050
2013.04,충청북도,아파트,0
2013.05,강원특별자치도,아파트,403
2013.05,경기도,아파트,1851
2013.05,경상남도,아파트,1492
2013.05,경상북도,아파트,2268
2013.05,광주광역시,아파트,215
2013.05,대구광역시,아파트,1234
2013.05,대전광역시,아파트,0
2013.05,부산광역시,아파트,270
2013.05,서울특별시,아파트,1028
2013.05,세종특별자치시,아파트,818
2013.05,울산광역시,아파트,890
2013.05,인천광역시,아파트,489
2013.05,전라남도,아파트,920
2013.05,전북특별자치도,아파트,569
2013.05,제주특별자치도,아파트,97
2013.05,충청남도,아파트,143
2013.05,충청북도,아파트,19
2013.06,강원특별자치도,아파트,0
2013.06,경기도,아파트,4361
2013.06,경상남도,아파트,944
2013.06,경상북도,아파트,1859
2013.06,광주광역시,아파트,181
2013.06,대구광역시,아파트,28
2013.06,대전광역시,아파트,194
2013.06,부산광역시,아파트,1049
2013.06,서울특별시,아파트,1823
2013.06,세종특별자치시,아파트,2543
2013.06,울산광역시,아파트,36
2013.06,인천광역시,아파트,4216
2013.06,전라남도,아파트,316
2013.06,전북특별자치도,아파트,410
2013.06,제주특별자치도,아파트,165
2013.06,충청남도,아파트,862
2013.06,충청북도,아파트,1585
2013.07,강원특별자치도,아파트,109
2013.07,경기도,아파트,8068
2013.07,경상남도,아파트,1555
2013.07,경상북도,아파트,1240
2013.07,광주광역시,아파트,192
2013.07,대구광역시,아파트,476
2013.07,대전광역시,아파트,16
2013.07,부산광역시,아파트,1524
2013.07,서울특별시,아파트,1604
2013.07,세종특별자치시,아파트,271
2013.07,울산광역시,아파트,54
2013.07,인천광역시,아파트,362
2013.07,전라남도,아파트,80
2013.07,전북특별자치도,아파트,731
2013.07,제주특별자치도,아파트,22
2013.07,충청남도,아파트,1838
2013.07,충청북도,아파트,0
2013.08,강원특별자치도,아파트,60
2013.08,경기도,아파트,5662
2013.08,경상남도,아파트,376
2013.08,경상북도,아파트,471
2013.08,광주광역시,아파트,138
2013.08,대구광역시,아파트,688
2013.08,대전광역시,아파트,52
2013.08,부산광역시,아파트,1734
2013.08,서울특별시,아파트,5230
2013.08,세종특별자치시,아파트,816
2013.08,울산광역시,아파트,627
2013.08,인천광역시,아파트,331
2013.08,전라남도,아파트,1804
2013.08,전북특별자치도,아파트,0
2013.08,제주특별자치도,아파트,580
2013.08,충청남도,아파트,3187
2013.08,충청북도,아파트,56
2013.09,강원특별자치도,아파트,0
2013.09,경기도,아파트,8097
2013.09,경상남도,아파트,1929
2013.09,경상북도,아파트,141
2013.09,광주광역시,아파트,88
2013.09,대구광역시,아파트,2484
2013.09,대전광역시,아파트,500
2013.09,부산광역시,아파트,389
2013.09,서울특별시,아파트,392
2013.09,세종특별자치시,아파트,0
2013.09,울산광역시,아파트,18
2013.09,인천광역시,아파트,317
2013.09,전라남도,아파트,338
2013.09,전북특별자치도,아파트,737
2013.09,제주특별자치도,아파트,40
2013.09,충청남도,아파트,1903
2013.09,충청북도,아파트,1102
2013.10,강원특별자치도,아파트,489
2013.10,경기도,아파트,3945
2013.10,경상남도,아파트,924
2013.10,경상북도,아파트,1582
2013.10,광주광역시,아파트,275
2013.10,대구광역시,아파트,2160
2013.10,대전광역시,아파트,1062
2013.10,부산광역시,아파트,934
2013.10,서울특별시,아파트,2220
2013.10,세종특별자치시,아파트,900
2013.10,울산광역시,아파트,491
2013.10,인천광역시,아파트,74
2013.10,전라남도,아파트,886
2013.10,전북특별자치도,아파트,247
2013.10,제주특별자치도,아파트,19
2013.10,충청남도,아파트,6186
2013.10,충청북도,아파트,2428
2013.11,강원특별자치도,아파트,2057
2013.11,경기도,아파트,5702
2013.11,경상남도,아파트,924
2013.11,경상북도,아파트,3065
2013.11,광주광역시,아파트,536
2013.11,대구광역시,아파트,4339
2013.11,대전광역시,아파트,1566
2013.11,부산광역시,아파트,2753
2013.11,서울특별시,아파트,7939
2013.11,세종특별자치시,아파트,2626
2013.11,울산광역시,아파트,1776
2013.11,인천광역시,아파트,179
2013.11,전라남도,아파트,158
2013.11,전북특별자치도,아파트,1048
2013.11,제주특별자치도,아파트,112
2013.11,충청남도,아파트,37
2013.11,충청북도,아파트,1562
2013.12,강원특별자치도,아파트,1369
2013.12,경기도,아파트,17269
